[799] path_loss: 0.081, valid_len_loss: 73.703, std_loss: 0.114, lr: 0.00804899726063013.
[807] path_loss: 0.149, valid_len_loss: 75.233, std_loss: 0.029, lr: 0.008007332682609558.
[815] path_loss: 0.137, valid_len_loss: 76.24, std_loss: 0.041, lr: 0.007965338416397572.
[823] path_loss: 0.201, valid_len_loss: 78.708, std_loss: 0.049, lr: 0.00792301818728447.
[831] path_loss: 0.116, valid_len_loss: 75.433, std_loss: 0.081, lr: 0.007880378514528275.
[839] path_loss: 0.154, valid_len_loss: 77.111, std_loss: 0.046, lr: 0.00783742219209671.
[847] path_loss: 0.197, valid_len_loss: 74.71, std_loss: 0.042, lr: 0.007794155739247799.
[855] path_loss: 0.109, valid_len_loss: 70.582, std_loss: 0.087, lr: 0.0077505819499492645.
[863] path_loss: 0.041, valid_len_loss: 67.395, std_loss: 0.103, lr: 0.007706706877797842.
[871] path_loss: 0.07, valid_len_loss: 78.756, std_loss: 0.157, lr: 0.0076625351794064045.
[879] path_loss: 0.122, valid_len_loss: 71.136, std_loss: 0.2, lr: 0.007618071045726538.
[887] path_loss: 0.974, valid_len_loss: 74.688, std_loss: 0.186, lr: 0.007573320064693689.
[895] path_loss: 0.074, valid_len_loss: 72.223, std_loss: 0.105, lr: 0.0075282868929207325.
epoch0, file 130 / 1552
[903] path_loss: 1.014, valid_len_loss: 66.923, std_loss: 0.198, lr: 0.00748297618702054.
[911] path_loss: 0.623, valid_len_loss: 56.312, std_loss: 0.278, lr: 0.00743739353492856.
[919] path_loss: 1.025, valid_len_loss: 79.114, std_loss: 0.273, lr: 0.007391543593257666.
[927] path_loss: 0.824, valid_len_loss: 69.953, std_loss: 0.147, lr: 0.007345431484282017.
[935] path_loss: 1.096, valid_len_loss: 86.86, std_loss: 0.119, lr: 0.007299061864614487.
[943] path_loss: 0.861, valid_len_loss: 94.209, std_loss: 0.092, lr: 0.007252440322190523.
[951] path_loss: 0.754, valid_len_loss: 81.431, std_loss: 0.091, lr: 0.007205571513622999.
[959] path_loss: 0.951, valid_len_loss: 88.186, std_loss: 0.075, lr: 0.0071584610268473625.
[967] path_loss: 0.714, valid_len_loss: 87.995, std_loss: 0.07, lr: 0.0071111139841377735.
[975] path_loss: 0.669, valid_len_loss: 82.939, std_loss: 0.086, lr: 0.007063535042107105.
[983] path_loss: 0.594, valid_len_loss: 67.616, std_loss: 0.229, lr: 0.007015730254352093.
[991] path_loss: 0.365, valid_len_loss: 78.554, std_loss: 0.101, lr: 0.006967704277485609.
[999] path_loss: 0.643, valid_len_loss: 76.53, std_loss: 0.069, lr: 0.006919462233781815.
[1007] path_loss: 0.803, valid_len_loss: 62.257, std_loss: 0.108, lr: 0.006871010176837444.
epoch0, file 146 / 1552
[1015] path_loss: 1.579, valid_len_loss: 55.643, std_loss: 0.194, lr: 0.006822352297604084.
[1023] path_loss: 1.655, valid_len_loss: 57.928, std_loss: 0.288, lr: 0.006773495115339756.
[1031] path_loss: 0.686, valid_len_loss: 50.418, std_loss: 0.221, lr: 0.006724443286657333.
[1039] path_loss: 0.138, valid_len_loss: 61.932, std_loss: 0.134, lr: 0.006675202399492264.
[1047] path_loss: 1.532, valid_len_loss: 61.474, std_loss: 0.137, lr: 0.006625778041779995.
[1055] path_loss: 1.377, valid_len_loss: 42.516, std_loss: 0.137, lr: 0.0065761748701334.
